Variable_ID,Variable_Description,Variable_Unit,Segment_ID
WP2,Water Pressure 2,Bar,6
WP2_I,Water Pressure 2 Instant,Bar,6
WP2_MIN,Water Pressure 2 Minimum,Bar,6
WP2_MAX,Water Pressure 2 Maximum,Bar,6
WP2_Avg,Water Pressure 2 Average,Bar,6
WP3,Water Pressure 3,Bar,6
WP3_I,Water Pressure 3 Instant,Bar,6
WP3_MIN,Water Pressure 3 Minimum,Bar,6
WP3_MAX,Water Pressure 3 Maximum,Bar,6
WP3_Avg,Water Pressure 3 Average,Bar,6
WP4,Water Pressure 4,Bar,6
WP4_I,Water Pressure 4 Instant,Bar,6
WP4_MIN,Water Pressure 4 Minimum,Bar,6
WP4_MAX,Water Pressure 4 Maximum,Bar,6
WP4_Avg,Water Pressure 4 Average,Bar,6
WP5,Water Pressure 5,Bar,6
WP5_I,Water Pressure 5 Instant,Bar,6
WP5_MIN,Water Pressure 5 Minimum,Bar,6
WP5_MAX,Water Pressure 5 Maximum,Bar,6
WP5_Avg,Water Pressure 5 Average,Bar,6
WPIN,Water Pressure IN,Bar,6
WPIN_I,Water Pressure IN Instant,Bar,6
WPIN_MIN,Water Pressure IN Minimum,Bar,6
WPIN_MAX,Water Pressure IN Maximum,Bar,6
WPIN_Avg,Water Pressure IN Average,Bar,6
WPOUT,Water Pressure OUT,Bar,6
WPOUT_I,Water Pressure OUT Instant,Bar,6
WPOUT_MIN,Water Pressure OUT Minimum,Bar,6
WPOUT_MAX,Water Pressure OUT Maximum,Bar,6
WPOUT_Avg,Water Pressure OUT Average,Bar,6
WFIN,Water Flow IN,m3/h,6
WFOUT,Water Flow OUT,m3/h,6
WTIN,Water Temperature IN,C,6
WTOUT,Water Temperature OUT,C,6
WL,Water Level,m,6
WP_CNT,Water Pressure Data Count,-,6
WP2_CNT,Water Pressure 2 Data Count,-,6
WP3_CNT,Water Pressure 3 Data Count,-,6
WP4_CNT,Water Pressure 4 Data Count,-,6
WP5_CNT,Water Pressure 5 Data Count,-,6
WPIN_CNT,Water Pressure IN Data Count,-,6
WPOUT_CNT,Water Pressure OUT Data Count,-,6
WFIN_CNT,Water Flow IN Data Count,-,6
WFOUT_CNT,Water Flow OUT Data Count,-,6
WTIN_CNT,Water Temperature IN Data Count,-,6
WTOUT_CNT,Water Temperature OUT Data Count,-,6
WL_CNT,Water Level Data Count,-,6
T_PUMP,Pump Work Time,Min,7
V,Instant Voltage,V,7
V_R,Phase R Instant Voltage,V,7
V_S,Phase S Instant Voltage,V,7
V_T,Phase T Instant Voltage,V,7
V_A,Instant Voltage Average,V,7
V_MIN_R,Phase R Instant Voltage Minimum,V,7
V_MIN_S,Phase S Instant Voltage Minimum,V,7
V_MIN_T,Phase T Instant Voltage Minimum,V,7
V_MAX_R,Phase R Instant Voltage Maximum,V,7
V_MAX_S,Phase S Instant Voltage Maximum,V,7
V_MAX_T,Phase T Instant Voltage Maximum,V,7
VRMS,RMS Voltage,V,7
VRMS_R,Phase R RMS Voltage,V,7
VRMS_S,Phase S RMS Voltage,V,7
VRMS_T,Phase T RMS Voltage,V,7
VRMS_A,RMS Voltage Average,V,7
VRMS_MIN_R,Phase R RMS Voltage Minimum,V,7
VRMS_MIN_S,Phase S RMS Voltage Minimum,V,7
VRMS_MIN_T,Phase T RMS Voltage Minimum,V,7
VRMS_MAX_R,Phase R RMS Voltage Maximum,V,7
VRMS_MAX_S,Phase S RMS Voltage Maximum,V,7
VRMS_MAX_T,Phase T RMS Voltage Maximum,V,7
VFun,Fundamental Voltage,V,7
VFun_R,Phase R Fundamental Voltage,V,7
VFun_S,Phase S Fundamental Voltage,V,7
VFun_T,Phase T Fundamental Voltage,V,7
VFun_A,Fundamental Voltage Average,V,7
VFun_MIN_R,Phase R Fundamental Voltage Minimum,V,7
VFun_MIN_S,Phase S Fundamental Voltage Minimum,V,7
VFun_MIN_T,Phase T Fundamental Voltage Minimum,V,7
VFun_MAX_R,Phase R Fundamental Voltage Maximum,V,7
VFun_MAX_S,Phase S Fundamental Voltage Maximum,V,7
VFun_MAX_T,Phase T Fundamental Voltage Maximum,V,7
VHarm,Harmonic Voltage,V,7
VHarm_R,Phase R Harmonic Voltage,V,7
VHarm_S,Phase S Harmonic Voltage,V,7
VHarm_T,Phase T Harmonic Voltage,V,7
VHarm_A,Harmonic Voltage Average,V,7
VHarm_MIN_R,Phase R Harmonic Voltage Minimum,V,7
VHarm_MIN_S,Phase S Harmonic Voltage Minimum,V,7
VHarm_MIN_T,Phase T Harmonic Voltage Minimum,V,7
VHarm_MAX_R,Phase R Harmonic Voltage Maximum,V,7
VHarm_MAX_S,Phase S Harmonic Voltage Maximum,V,7
VHarm_MAX_T,Phase T Harmonic Voltage Maximum,V,7
I,Instant Current,A,7
I_R,Phase R Instant Current,A,7
I_S,Phase S Instant Current,A,7
I_T,Phase T Instant Current,A,7
I_A,Instant Current Average,A,7
I_MIN_R,Phase R Instant Current Minimum,A,7
I_MIN_S,Phase S Instant Current Minimum,A,7
I_MIN_T,Phase T Instant Current Minimum,A,7
I_MAX_R,Phase R Instant Current Maximum,A,7
I_MAX_S,Phase S Instant Current Maximum,A,7
I_MAX_T,Phase T Instant Current Maximum,A,7
IP,Peak Current,A,7
IP_R,Phase R Peak Current,A,7
IP_S,Phase S Peak Current,A,7
IP_T,Phase T Peak Current,A,7
IP_A,Peak Current Average,A,7
IP_MIN_R,Phase R Peak Current Minimum,A,7
IP_MIN_S,Phase S Peak Current Minimum,A,7
IP_MIN_T,Phase T Peak Current Minimum,A,7
IP_MAX_R,Phase R Peak Current Maximum,A,7
IP_MAX_S,Phase S Peak Current Maximum,A,7
IP_MAX_T,Phase T Peak Current Maximum,A,7
IRMS,RMS Current,A,7
IRMS_R,Phase R RMS Current,A,7
IRMS_S,Phase S RMS Current,A,7
IRMS_T,Phase T RMS Current,A,7
IRMS_A,RMS Current Average,A,7
IRMS_MIN_R,Phase R RMS Current Minimum,A,7
IRMS_MIN_S,Phase S RMS Current Minimum,A,7
IRMS_MIN_T,Phase T RMS Current Minimum,A,7
IRMS_MAX_R,Phase R RMS Current Maximum,A,7
IRMS_MAX_S,Phase S RMS Current Maximum,A,7
IRMS_MAX_T,Phase T RMS Current Maximum,A,7
IFun,Fundamental Current,A,7
IFun_R,Phase R Fundamental Current,A,7
IFun_S,Phase S Fundamental Current,A,7
IFun_T,Phase T Fundamental Current,A,7
IFun_A,Fundamental Current Average,A,7
IFun_MIN_R,Phase R Fundamental Current Minimum,A,7
IFun_MIN_S,Phase S Fundamental Current Minimum,A,7
IFun_MIN_T,Phase T Fundamental Current Minimum,A,7
IFun_MAX_R,Phase R Fundamental Current Maximum,A,7
IFun_MAX_S,Phase S Fundamental Current Maximum,A,7
IFun_MAX_T,Phase T Fundamental Current Maximum,A,7
IHarm,Harmonic Current,A,7
IHarm_R,Phase R Harmonic Current,A,7
IHarm_S,Phase S Harmonic Current,A,7
IHarm_T,Phase T Harmonic Current,A,7
IHarm_A,Harmonic Current Average,A,7
IHarm_MIN_R,Phase R Harmonic Current Minimum,A,7
IHarm_MIN_S,Phase S Harmonic Current Minimum,A,7
IHarm_MIN_T,Phase T Harmonic Current Minimum,A,7
IHarm_MAX_R,Phase R Harmonic Current Maximum,A,7
IHarm_MAX_S,Phase S Harmonic Current Maximum,A,7
IHarm_MAX_T,Phase T Harmonic Current Maximum,A,7
P,Active Power,W,7
P_R,Phase R Active Power,W,7
P_S,Phase S Active Power,W,7
P_T,Phase T Active Power,W,7
P_A,Active Power Average,W,7
P_MIN_R,Phase R Active Power Minimum,W,7
P_MIN_S,Phase S Active Power Minimum,W,7
P_MIN_T,Phase T Active Power Minimum,W,7
P_MAX_R,Phase R Active Power Maximum,W,7
P_MAX_S,Phase S Active Power Maximum,W,7
P_MAX_T,Phase T Active Power Maximum,W,7
Q,Reactive Power,Var,7
Q_R,Phase R Reactive Power,Var,7
Q_S,Phase S Reactive Power,Var,7
Q_T,Phase T Reactive Power,Var,7
Q_A,Reactive Power Average,Var,7
Q_MIN_R,Phase R Reactive Power Minimum,Var,7
Q_MIN_S,Phase S Reactive Power Minimum,Var,7
Q_MIN_T,Phase T Reactive Power Minimum,Var,7
Q_MAX_R,Phase R Reactive Power Maximum,Var,7
Q_MAX_S,Phase S Reactive Power Maximum,Var,7
Q_MAX_T,Phase T Reactive Power Maximum,Var,7
S,Apparent Power,VA,7
S_R,Phase R Apparent Power,VA,7
S_S,Phase S Apparent Power,VA,7
S_T,Phase T Apparent Power,VA,7
S_A,Apparent Power Average,VA,7
S_MIN_R,Phase R Apparent Power Minimum,VA,7
S_MIN_S,Phase S Apparent Power Minimum,VA,7
S_MIN_T,Phase T Apparent Power Minimum,VA,7
S_MAX_R,Phase R Apparent Power Maximum,VA,7
S_MAX_S,Phase S Apparent Power Maximum,VA,7
S_MAX_T,Phase T Apparent Power Maximum,VA,7
QFun,Fundamental Reactive Power,Var,7
QFun_R,Phase R Fundamental Reactive Power,Var,7
QFun_S,Phase S Fundamental Reactive Power,Var,7
QFun_T,Phase T Fundamental Reactive Power,Var,7
QFun_A,Fundamental Reactive Power Average,Var,7
QFun_MIN_R,Phase R Fundamental Reactive Power Minimum,Var,7
QFun_MIN_S,Phase S Fundamental Reactive Power Minimum,Var,7
QFun_MIN_T,Phase T Fundamental Reactive Power Minimum,Var,7
QFun_MAX_R,Phase R Fundamental Reactive Power Maximum,Var,7
QFun_MAX_S,Phase S Fundamental Reactive Power Maximum,Var,7
QFun_MAX_T,Phase T Fundamental Reactive Power Maximum,Var,7
QHarm,Harmonic Reactive Power,Var,7
QHarm_R,Phase R Harmonic Reactive Power,Var,7
QHarm_S,Phase S Harmonic Reactive Power,Var,7
QHarm_T,Phase T Harmonic Reactive Power,Var,7
QHarm_A,Harmonic Reactive Power Average,Var,7
QHarm_MIN_R,Phase R Harmonic Reactive Power Minimum,Var,7
QHarm_MIN_S,Phase S Harmonic Reactive Power Minimum,Var,7
QHarm_MIN_T,Phase T Harmonic Reactive Power Minimum,Var,7
QHarm_MAX_R,Phase R Harmonic Reactive Power Maximum,Var,7
QHarm_MAX_S,Phase S Harmonic Reactive Power Maximum,Var,7
QHarm_MAX_T,Phase T Harmonic Reactive Power Maximum,Var,7
PFun,Fundamental Power,-,7
PFun_R,Phase R Fundamental Power,-,7
PFun_S,Phase S Fundamental Power,-,7
PFun_T,Phase T Fundamental Power,-,7
PFun_A,Fundamental Power Average,-,7
PFun_MIN_R,Phase R Fundamental Power Minimum,-,7
PFun_MIN_S,Phase S Fundamental Power Minimum,-,7
PFun_MIN_T,Phase T Fundamental Power Minimum,-,7
PFun_MAX_R,Phase R Fundamental Power Maximum,-,7
PFun_MAX_S,Phase S Fundamental Power Maximum,-,7
PFun_MAX_T,Phase T Fundamental Power Maximum,-,7
PHarm,Harmonic Power,-,7
PHarm_R,Phase R Harmonic Power,-,7
PHarm_S,Phase S Harmonic Power,-,7
PHarm_T,Phase T Harmonic Power,-,7
PHarm_A,Harmonic Power Average,-,7
PHarm_MIN_R,Phase R Harmonic Power Minimum,-,7
PHarm_MIN_S,Phase S Harmonic Power Minimum,-,7
PHarm_MIN_T,Phase T Harmonic Power Minimum,-,7
PHarm_MAX_R,Phase R Harmonic Power Maximum,-,7
PHarm_MAX_S,Phase S Harmonic Power Maximum,-,7
PHarm_MAX_T,Phase T Harmonic Power Maximum,-,7
FunVA,Fundamental Volt Ampere,VA,7
FunVA_R,Phase R Fundamental Volt Ampere,VA,7
FunVA_S,Phase S Fundamental Volt Ampere,VA,7
FunVA_T,Phase T Fundamental Volt Ampere,VA,7
FunVA_A,Fundamental Volt Ampere Average,VA,7
FunVA_MIN_R,Phase R Fundamental Volt Ampere Minimum,VA,7
FunVA_MIN_S,Phase S Fundamental Volt Ampere Minimum,VA,7
FunVA_MIN_T,Phase T Fundamental Volt Ampere Minimum,VA,7
FunVA_MAX_R,Phase R Fundamental Volt Ampere Maximum,VA,7
FunVA_MAX_S,Phase S Fundamental Volt Ampere Maximum,VA,7
FunVA_MAX_T,Phase T Fundamental Volt Ampere Maximum,VA,7
PF,Power Factor,-,7
PF_R,Phase R Power Factor,-,7
PF_S,Phase S Power Factor,-,7
PF_T,Phase T Power Factor,-,7
PF_A,Power Factor Average,-,7
PF_MIN_R,Phase R Power Factor Minimum,-,7
PF_MIN_S,Phase S Power Factor Minimum,-,7
PF_MIN_T,Phase T Power Factor Minimum,-,7
PF_MAX_R,Phase R Power Factor Maximum,-,7
PF_MAX_S,Phase S Power Factor Maximum,-,7
PF_MAX_T,Phase T Power Factor Maximum,-,7
FQ,Frequency,Hz,7
FQ_MIN,Frequency Minimum,Hz,7
FQ_MAX,Frequency Maximum,Hz,7
AE,Active Energy,kWh,7
AE_R,Phase R Active Energy,kWh,7
AE_S,Phase S Active Energy,kWh,7
AE_T,Phase T Active Energy,kWh,7
AE_A,Active Energy Average,kWh,7
AE_TOT,Total Active Energy,kWh,7
RE_L,Reactive Energy Leading,kVARh,7
RE_L_R,Phase R Reactive Energy Leading,kVARh,7
RE_L_S,Phase S Reactive Energy Leading,kVARh,7
RE_L_T,Phase T Reactive Energy Leading,kVARh,7
RE_L_A,Reactive Energy Leading Average,kVARh,7
RE_L_TOT,Total Leading Reactive Energy,kVARh,7
RE_G,Reactive Energy Lagging,kVARh,7
RE_G_R,Phase R Reactive Energy Lagging,kVARh,7
RE_G_S,Phase S Reactive Energy Lagging,kVARh,7
RE_G_T,Phase T Reactive Energy Lagging,kVARh,7
RE_G_A,Reactive Energy Lagging Average,kVARh,7
RE_G_TOT,Total Lagging Reactive Energy,kVARh,7
Max78630_T,Chip Temperature,C,7
Max78630_T_MIN,Chip Temperature Minimum,C,7
Max78630_T_MAX,Chip Temperature Maximum,C,7
MAX_DIVISOR,Actual samples in previous accumulation interval,-,7
MAX_CYCLE,High-rate sample counter,-,7
MAX_FRAME,Low-rate sample counter,-,7
MAX_STATUS,Alarm and device status,-,7
MAX_MASK1,Alarm/status mask for AL1 output pin,-,7
MAX_MASK2,Alarm/status mask for AL2 output pin,-,7
MAX_MASK3,Alarm/status mask for AL3 output pin,-,7
MAX_MASK4,Alarm/status mask for AL4 output pin,-,7
MAX_STICKY,Alarm/status bits to hold until cleared by host,-,7
MAX_DIO_STATE,State of DIO pins,-,7
MAX_DIO_DIR,Direction of DIO pins,-,7
MAX_DIO_POL,Polarity of DIO pins,-,7
MAX_CALCYCS,Number of calibration cycles to average,-,7
MAX_HPF_COEF_I,Current input HPF coefficient,-,7
MAX_HPF_COEF_V,Voltage input HPF coefficient,-,7
MAX_PHASECOMP1,Phase compensation for AV1 input,-,7
MAX_PHASECOMP2,Phase compensation for AV2 input,-,7
MAX_PHASECOMP3,Phase compensation for AV3 input,-,7
MAX_BAUD,Baud rate for UART interface,-,7
MAX_I1_GAIN,Current gain calibration,-,7
MAX_I1_OFFSET,Current offset calibration,-,7
MAX_I2_GAIN,Current gain calibration,-,7
MAX_I2_OFFSET,Current offset calibration,-,7
MAX_I3_GAIN,Current gain calibration,-,7
MAX_I3_OFFSET,Current offset calibration,-,7
MAX_V1_GAIN,Voltage gain calibration,-,7
MAX_V1_OFFSET,Voltage offset calibration,-,7
MAX_V2_GAIN,Voltage gain calibration,-,7
MAX_V2_OFFSET,Voltage offset calibration,-,7
MAX_V3_GAIN,Voltage gain calibration,-,7
MAX_V3_OFFSET,Voltage offset calibration,-,7
MAX_T_GAIN,Temperature slope calibration,-,7
MAX_T_OFFSET,Temperature offset calibration,-,7
MAX_VIMBAL,Voltage imbalance alarm limit,-,7
MAX_IIMBAL,Current imbalance alarm limit,-,7
MAX_VRMS_MIN,Voltage lower alarm limit,-,7
MAX_VRMS_MAX,Voltage upper alarm limit,-,7
MAX_VSAG_LIM,RMS voltage sag threshold,-,7
MAX_IARMS_OFF,RMS current dynamic offset adjust,-,7
MAX_IBRMS_OFF,RMS current dynamic offset adjust,-,7
MAX_ICRMS_OFF,RMS current dynamic offset adjust,-,7
MAX_IRMS_MAX,Current upper alarm limit,-,7
MAX_IFSCALE,Current scale register,-,7
MAX_VFSCALE,Voltage scale register,-,7
MAX_T_MIN,Temperature alarm lower limit,-,7
MAX_T_MAX,Temperature alarm upper limit,-,7
MAX_F_MIN,Frequency alarm lower limit,-,7
MAX_F_MAX,Frequency alarm upper limit,-,7
MAX_BUCKET_L,Energy bucket low word,-,7
MAX_BUCKET_H,Energy bucket high word,-,7
SET_MIN_V,Voltage Min set,V,7
SET_MAX_V,Voltage Max set,V,7
MAX_SYSSTAT,System status register,-,7
Firmware_ID,FOTA ID,-,9
FOTA_Download_Status,FOTA Download Time,-,9
FOTA_Download_Time,FOTA Download Status,Sec,9
